,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOEZ-RcGLc6nvSk7thkFnHO26LKlO9dh9qiFQvndhcw3Y3a2Yt5DXXaC1a06ot6R0Q3ROyzKfkxgDc1V,AX Quality Fabric,https://play-lh.googleusercontent.com/a-/AOh14GjADcXrzGDf2mRc2yw2a_2RzeCMLHcA6LntnbS0ig,Whenever I play it always back to home screen. Can fix it ? :(,1,0,,2014-06-18T23:50:00,,
1,gp:AOqpTOFZa6ujGuOLT3dgFuR1ARGFtbvExVEvoSe08b4Alf9sd_0851wkQpohNi4z5ZJgiBa2F5IRb5K5XN0a,Abhi,https://play-lh.googleusercontent.com/a-/AOh14Ggivj7xe6OqZwCUW-JQY3s4tznjcQaVxrqiAt2ZkZY,A good strategic game and easy to play,1,0,8.332.6,2016-06-04T23:35:10,,
2,gp:AOqpTOE_sgACKSc7Y22l0NU_MaoEGFnGkZsgiUs-XqEeluDw5MevjnH3QlYB3hey6piM8qwc-u_dt36Diiss,Seerah Stan,https://play-lh.googleusercontent.com/a-/AOh14GijDtAY_9PZEKVaiOJy1ut-Y3KYuoIkXIZu5tFKuwE,"My phone keep auto rotating when i opened coc even my phone was ""rotation locked"" , then my keyboard become half when i enter the chat,how am i supposed to type anything with a half keyboard ,please fix this i'm a one plus one user ðŸ˜­ðŸ˜­ðŸ˜­",1,0,7.156.10,2015-08-28T20:51:10,,
3,gp:AOqpTOEoSLSNT-aqvZgOW_8po7PwM_6TJw_a1vtbKcLaEDZ40RERWLMEhtlnY0PjpYYe-tgJAjb0bvdDsriz,Mike Thompson,https://play-lh.googleusercontent.com/a-/AOh14Gjv8teRdmQYmnw8wb_UJG-DvIehReTdMX6P0nS_EQ,You recover from the  th 11 update than cut clock tower time by 50% back to 1* for awhile the miner doesnt fit theme of the game should have been a dwarf instead of a 70s construction worker looking to bumb a smoke,1,50,9.105.4,2017-06-27T20:07:34,,
4,gp:AOqpTOFtUhlgnLN3zH_kEwKT2otq-nHIo5dwYSbPamOoqABqPdRIgmtUzyuuWmiGwDlNoiV3teo8bQOv9Ikt,Pete Smile,https://play-lh.googleusercontent.com/a-/AOh14GiEHKvEaW2l8BwebfWHX-FCTeeVnB4V6-WzPANc7w,"All they want is your money, get into the game and cannot go any further without forking out a lot of money",1,0,,2014-09-28T18:55:34,,
5,gp:AOqpTOGa2G3aPWZnbewhC5tqt8GMokwn7fE_L5RWmcPTjE7EmXOY5fsG1zTW91lZGv5li8Qpy8WWXJX0UCYj,Jiraya Joichiro,https://play-lh.googleusercontent.com/a-/AOh14GgnX09Ndm3cW2YxcYS1nhWDMobwRpYTZmtzWT8Y,"This sucksssssssss......I lost all my accounts of th10 and th9. I also sent these people atleast 6 messages regarding the global chat feature, they were least bothered. They have millions of downloads and have money. Maybe that's why they never bothered and deleted my accounts!",1,0,,2020-11-14T13:16:14,,
6,gp:AOqpTOGwJChYW0CktWN8nq2krILSbfrNBYIOFEYPnNGOk5pmEuBQOcLnR601jhRU3Opo4Olx8jPhLiy34SPX,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This game give lot of message,1,0,,2018-12-14T07:15:59,,
7,gp:AOqpTOEwJfni1TUoTqrbz8Si53fs7r24lmei1wBC8XblRmGgzXCbWTktzlOneDkb7ryyGzCZQikZj3bLmnNB,elizer santiago,https://play-lh.googleusercontent.com/a-/AOh14Ggrpm5vtsAECI1NFemmDrJ21OvD2YAe0Rk2m3Io,Kahit ano,1,0,10.322.27,2018-10-31T07:08:25,,
8,gp:AOqpTOGvDxt46h29xRNTP1q0IW_-zvQss7l5E7of2hd52C91Usm2mxdwfjJtMKmk6dvBjCc5LEOsgLoAMFKE,Isaac V,https://play-lh.googleusercontent.com/a-/AOh14GhFyXC66ViGMJXjL_JmefR0dTLki2CRJ_0EdO4ZQQ,Stupied game,1,0,,2015-11-08T06:06:50,,
9,gp:AOqpTOHmq86qJYF19IAePoLhE3uOXKrDTAQbkKTY4XBx8pfVG4ImaCgfTY5TNQXpP_EA_V1hN60nibcONeWX,Jade,https://play-lh.googleusercontent.com/a-/AOh14GiOavwfDxy09FZTSW4i78xB1HT0oxMMAAKwLFyMTA,"After the new update, the Lightning Spell max lvl 7, i cant change my account even i load my wifi higher amount. I really cant log in. I bought another pocket wifi . Still doesnt work, now i cannot log in my Th 7 account. Help me pls",1,0,7.200.13,2015-09-26T17:34:00,,
10,gp:AOqpTOFn9iktgblf04_1TPJhZYH5G5iZdU17rQAIGgZty2q9AxEoUORa3AOoHvD6eSLJN3QlRy6arKc_k03H,Saritha Kaluri,https://play-lh.googleusercontent.com/a/AATXAJz2wbv3IZuaUfXKcQWJ6vDFDaOnA_lxFjGL0wjj=mo,Update i dint like,1,0,8.709.23,2017-05-22T08:47:54,,
11,gp:AOqpTOEnbKhpv1mh4ur6c9mTjSQZbpRXCjPfGJ6D5RNxhjLBfYYWrCh7WFhRAgiXSxmNP0LTy7BEpCQuF22k,nanay helen,https://play-lh.googleusercontent.com/a-/AOh14Gg2EKe_tTCAL_MHUyAQc5jZW1GiQRlgpRdL4pQ-,Its won't let me play even when I press it and I waited almost a day wasting my time with the loading I'm playing in tablet,1,0,6.407.8,2015-01-26T04:48:08,,
12,gp:AOqpTOFOhziDq-vmnY8wv1R8YQetu-sLQzmy8PYMoxeM0wOmTvlIEh6F-VlHQHLR8L2gQj0cKtRFfzffmn8F,M M,https://play-lh.googleusercontent.com/a/AATXAJwZPHA1uDFT8NbpJaT1sghZspnF64jJGquXnOv_=mo,"ðŸ˜¡  ""Your personal break has been extended because you didn't get a shield the last time you went on break .""  So we have toÂ play for longer to get aheadÂ under Supercell's new way of playing. With larger armies for minimal loot bonus.  Instead you get kicked off earlier than usual, and then getÂ punishedÂ because theÂ new loot bonus sucksÂ and you're not worth getting attacked.  Makes sense, right?",1,2,8.67.3,2015-12-11T17:55:51,,
13,gp:AOqpTOHXLkBQ9fCKWXrH4YTGLQOmPzcWVxvt1gDqEFSJ8TLcJ7b99e7WJgL2GVvYHvKgsuFSrxUSL2Ahk-06,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Worst game...,1,0,,2017-11-13T03:00:09,,
14,gp:AOqpTOHYOtrrK5DVYNdZ-pLMLSeDCZnNByLVL3QvnV5ZA3lzr0LtZR4UydQORons9Hzs6huNXZcgCAow-AaK,kumbakonam westps,https://play-lh.googleusercontent.com/a-/AOh14GgYOz9Ecs2Jt-PBsoiut1PQCYWjuKv-6QXw8aWLLg,Like,1,0,9.105.4,2017-12-09T09:34:27,,
15,gp:AOqpTOFFUz8DGJezRUA1vZCzhSjg5bS-cPkouNRIKMWxeiyAvLU63hRcSscuFPk4ejE6GLBSwJLbjiRxgjCO,Daniel Pruitt,https://play-lh.googleusercontent.com/a/AATXAJz1oJmXsgitJ-RkmuctdxeHVu_8ctkOXoZxjM8i=mo,This was a very fun game. They changed the loot system and no you go nowhere fast..... change it back so you can actually make progress in the game!!!!!!!,1,0,5.113.2,2013-12-13T19:26:43,,
16,gp:AOqpTOFlCzR23rcl2gTdY-_MxVqlhMPr2Ai_SSg9UFRjrgVXMnEUFHmLhmfy-rLdivqUGjrKbh4Kq9bBFbSv,BABY YADAV,https://play-lh.googleusercontent.com/a-/AOh14Gh4mBcVdDOzEif2qKJdcB0wt07ptcHhOz3RnY3F6A,Boaring,1,0,,2018-06-03T05:54:01,,
17,gp:AOqpTOFm8v6fjvMH9lCwmsNYx-d8djnAru_A8wJeoAK4dVuk0zCHC_twjdLrRlqZSR2YiT_b09Sj73peX93Z,Nitesh Chaudhary,https://play-lh.googleusercontent.com/a-/AOh14Ggj96PEhQWWG5OLgvZFGtx2iqsshs2b6WuyBpaMgw,Don't nerf infernos.....this is the last reason I and my friends playing coc. Don't ruin the skills of the players. Please don't kill the game completely as it is almost dead already,1,2,9.434.3,2017-12-20T11:46:04,,
18,gp:AOqpTOGlOiiowoB51KBgix0VJgmdJHrSjgNTZzzW-on1B8_nPRayBlF3byzzMDDudlRGV2IJd_YqDG9lLVBF,Praneeth Kumar,https://play-lh.googleusercontent.com/a/AATXAJwSihYyi3iTAB1vpPDRHNUWfK6itarpdNAkD9Yk=mo,Super great,1,0,,2020-12-05T09:47:20,,
19,gp:AOqpTOEdjGFSXJ2NjbvczslnGdIvYaTAIKxUdN0iJm2taQL7ciLHIRYjs3_rbQmFtihecRbabRBVHlZQluZe,mitraprakash dash,https://play-lh.googleusercontent.com/a-/AOh14Gh1Q4qqjG58BQ6hIJo_YEYPKtV7LcVzhAAM5JTy,Good,1,0,9.24.1,2017-05-24T19:52:39,,
20,gp:AOqpTOFVFqxxWh7BfAWiVedoE1QMD6DoADoCkX-dcqO-1IgOUepmCpMYemH1IHOz50ub7peO7k3ensm9Dswz,diwakar timilsina,https://play-lh.googleusercontent.com/a-/AOh14Gi3btyPbo-uo98oH3WmLkFJqnyJ6smDYdAaEcqW-w,there is no flag of my country.....my country is nepal.....the country where there is highest mountain of the world.......how dare you to exclude our countrys flag.......,1,1,8.212.12,2016-05-21T01:51:14,,
21,gp:AOqpTOEg953bnx3pXEBO75y9PTobMsI1xg8Hfy-_70jQMtZu0v2LSo-S1vwpaizanztQ7w0Y3ipx9ZAHYqCX,Wei Hu,https://play-lh.googleusercontent.com/a-/AOh14GhK_Yy0g53JAXbBCYvPKQzXkdg_ng86fIgAVH0r,The match system sucks.  I was attacked by a guy 800 cups lower than me and I lost 36 cups with 58% damage. I can only get ~ 5 cups from each battle.,1,0,9.434.30,2018-02-26T03:29:25,,
22,gp:AOqpTOE2AsYbFoEyz7epG2u1ASr9Ho13sGiwhspBXfgCSBFtrEf29_cdAstpv4M2A7HuUk0zwurYfZ41m7MO,Hey Navarro,https://play-lh.googleusercontent.com/a-/AOh14Gg8DyS7Y6QwrQaeT7hRQobBnbyCM1b28YKaXuUv,Too lag for play,1,0,6.186.3,2014-08-06T02:26:05,,
23,gp:AOqpTOGNWyW_LmTIFBZNxP7FklKIsVm78BFJTYQh0Bk2l8W9CtNHEOf4kNchAdpqa73fIDy6YTLm4u8TjF6t,Zeaid Ghori,https://play-lh.googleusercontent.com/a-/AOh14GhlRM8OYmXUv810FfNS4NFYCQm-Qh1p5ZTJREcgng,Bad,1,0,8.709.23,2017-05-21T13:26:43,,
24,gp:AOqpTOGpB1rDjXLR6yvz6_xFFL60kEqVW0qp8AHxWMXCDaqZ4HInNYfi7mfSlu9Lw9XCuWdB-YqWLJel1yEH,Rayyan Mehmood,https://play-lh.googleusercontent.com/a/AATXAJzm12Ejp6P-3r3E1_9GlEfXYTKvRSzcPW12plqR=mo,I made a purchase of 6500 gems  my money is gone but I didn't got my gems,1,0,8.67.8,2015-12-22T02:04:29,,
25,gp:AOqpTOG_P2reaq_IPZBll73WXd6c8uGcONQWIPyfj1fcUkTvqTxAcBv6HDTwnDrG7NA0aDqbCPbZZ0X55CNa,Dayanand Singh,https://play-lh.googleusercontent.com/a/AATXAJzqYLjeaPNLmMyB6cqcXH8uKq7n0Fj5tXER7ydy=mo,Very bad game and time consuming,1,0,,2017-01-21T12:38:24,,
26,gp:AOqpTOGAcxbAtE4FccbyHpAgHQczddskBdAynVsm3UZG9CdJFHYnxL4FYajhhPrNhMhwLdLuB1sEZvdGPhqt,Richelle Pelere,https://play-lh.googleusercontent.com/a-/AOh14GgX9x-xjQIzcL6zo0PVGCPJ5kI5Dd3OmwAUnIVW8A,Everytime i click me th  it crashes the game,1,0,8.67.8,2015-12-20T09:07:47,,
27,gp:AOqpTOGpVN6Q-t5jsU5hEAWwCOxyV7kVDrk4NQoIiOwVbSTMEbc5GK-7CkfYgtJNy_S40qVib7eA-fOnDSCO,Sakib Hossain,https://play-lh.googleusercontent.com/a-/AOh14Gj0c8I42l_SHJNBXURJgzlNXy8SKW_8HiC0SQc7pbs,fu**ing morons! took my 2 years!,1,9,8.116.2,2019-02-08T21:22:38,,
28,gp:AOqpTOFNBwCSH8g4yVU_RPBUbi38vyG16B_rE9GtqqfdPZNz8SXIkLIagKv8jN9VRhBElPFU60oiEHigCBkM,LoneLy MaaKKan,https://play-lh.googleusercontent.com/a-/AOh14GimhDgIASfeZRccL1dEJ9B_FEdEofDydiiX-ReJ7w,i think this is not agame... this is a real experience of attack...,1,0,,2019-05-24T05:24:02,,
29,gp:AOqpTOESPl65SlWb9xI028BBZtedKVHE15i-nVRoQ7NTNreXmO7eqmjSQTwoJOeM_hHnysU2T_i2eow4rtsu,hayman Culango,https://play-lh.googleusercontent.com/a-/AOh14GixXs4aoN8EB13ZEDq-bdIek2H2kR03js-JjD65Hg,In the IOS it can't open any more,1,0,,2015-12-14T09:14:46,,
30,gp:AOqpTOEV-Ezr3ZdkhmMh-XGw4UH-YV6f7RyGqfcDkmNxtqnfh4Vtj8ojyqKoGONZD4Ngg-aARqHi7Kx7RZzC,deepak bhange,https://play-lh.googleusercontent.com/a/AATXAJy2Ec7kpXZK6giZR7BPvYaRWPgnepuAzP-y01f2=mo,Some upgrade take 9 days when to play if upgrade takes forever,1,0,,2017-08-24T01:06:14,,
31,gp:AOqpTOHkhhX13iGeewFPljHUTC1Q_9S0Qzb5DEsSeZECoZWGcIgu1Psbh9RXC51Mgez19jC2LfZluPWoBydF,Snehasish Kayal,https://play-lh.googleusercontent.com/a/AATXAJwC-R7Jym9YzdIrMO_aW092mBi3oC4kpVzD8hQw=mo,OpðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,1,0,,2020-11-15T11:17:53,,
32,gp:AOqpTOHYEaJvArvhn0yr2Wvxjd4I8e2vNu9L-1H223ke9CRr6DXN2n3AsIp0bJ9YtNM8i-d2R_7MJzTjiS1B,DALI DHANANJAY,https://play-lh.googleusercontent.com/a-/AOh14GiQvf_b-gerctUOcuqHPE-Vq2cJlH8_4TLZwR-U-g,boring game it is not the only thing that you are looking,1,0,9.105.9,2020-08-19T02:01:41,,
33,gp:AOqpTOF1ffsitkJnSBU3foOUeL0X4kcCIJJOeqQaMxLFaH3PoQYFODpJGyCAYp-iSwGc17TGo7kBoeDopYBg,Rizvi rather,https://play-lh.googleusercontent.com/a-/AOh14GjVX6DbpgQIk-kkngPNDyUpA7_kEUpsZYbk5gAe,Nice,1,0,,2020-12-07T00:48:54,,
34,gp:AOqpTOELmAIttxkFkzmTkfyAlbsGYQAh_QJm3CZwKrSL7kFLW2Z1tTRmCLDLPVFAbOsRSDNZNX7dA1dJWb19,bull lock,https://play-lh.googleusercontent.com/a/AATXAJwjJyDzdIWYxjEjpBU_YJPzz2a7uY1C7_85mEk=mo,"This new update is absolute trash, it makes the game almost unplayable for me. You can keep the th11 and spell donation, which people have been asking for, but take out the garbage new raiding system and shield crap. PS bring back farming",1,0,8.67.8,2015-12-30T13:33:14,,
35,gp:AOqpTOG7BYXhgvMPGJarUzF72RmdirLuOe9shJ_gxhjvwwYupcerF11oY3CaLSaG8CGpPZ54sF1_jkIhDJ87,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,super,1,0,,2019-03-16T12:07:56,,
36,gp:AOqpTOEv4tKci8U5WC7-mKsJCakuOZ37_qfWhtrpVTRWqB3ycWUIiNUQm5OSlISxN1njdFBW7dkZM2ncH3MB,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Coc,1,0,10.322.27,2018-10-23T08:59:55,,
37,gp:AOqpTOFsjveOrGyXVuqD5OOm_gldJkyNecKKwXDsq9VPgl3loERHhfuAYapYiPBRmrmGtFRR_r-uhVmezPEj,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Trash,1,0,,2018-10-11T13:10:26,,
38,gp:AOqpTOF1BIAbS8-gq0KyWe1Nr8_VKjcfnqqX9ngiVau1h-SGBho_ZffOz4FYoLGGkJBrfGE4zy3x_39KTohR,Lord Retardo,https://play-lh.googleusercontent.com/a-/AOh14GiulpzSXJuOivNrOV0gjmdG423_YSw22JcpDdxzOQ,Empire four kingdom is so much better try it,1,0,,2015-07-08T10:49:40,,
39,gp:AOqpTOHY7phHnHjDT8EokWeSL8MFwx_0WCGIFUXQq101bUnZPesRsVzEXOeLVT-cWkXomMv6Ids7GjHY2qiU,jianpou legend,https://play-lh.googleusercontent.com/a-/AOh14GiK7L1mRIUUvfPOdrRQDXWmvwkUlY9CDLMMwbMiNQ,Not bad,1,0,11.866.17,2019-12-09T07:05:17,,
40,gp:AOqpTOESaZJ6MgYoY1snfPQ7eG3HM12Gx5cOGQMNaXNmvdOXgqSYaoq4VhadLyaN0FsdZS31ItbPuNwGvVlp,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,So cheap,1,0,,2017-04-12T10:20:34,,
41,gp:AOqpTOFXznWTj4J3Sqn5FaVkcP-Y4Juye_isZiOyPQ6IX67xPnOEYlwANZFeIIFrfABqCnkIMRwLvULlwqnN,72 Balasivaguru,https://play-lh.googleusercontent.com/a/AATXAJxGKUCVJQNnwIqP8egNsMLxxhoDERxgMT0n2_Hf=mo,Banned me fr no reason,1,0,,2016-09-13T10:13:48,,
42,gp:AOqpTOGqCLWBnCacRGrXYc40lURseqQMn4PcXHlGNayNR00Zd0dYVdPz00flqfKnY-quEAcLzC29KKdIxU43,YOUNG ENTREPRENEUR,https://play-lh.googleusercontent.com/a-/AOh14GgOUeaM4As79tL3BZPQ_5BFI4dqinIourN03lXshg,Gdry,1,0,8.332.16,2016-10-13T03:03:26,,
43,gp:AOqpTOEY5Xan-RVj1JR05ZBpVJnfiXTNKYGNJVN7Ci9GlZIUB5advisHYbsBMibnOyMV_-jE0gMf6qebF33q,FIRST THE END,https://play-lh.googleusercontent.com/a-/AOh14GijOZ95sW-VqhHVV9lfHZ9VxdLQMgiBEQ6qAT8o,Suckest game i ever seen,1,0,,2020-06-21T23:09:57,,
44,gp:AOqpTOEX2BwXiZn2U8Nhgofk1HqVgHlPIn9OSLWeFnfS75D8_kUAlyjEfA6YKkMHpvbx4-sUusJzYsJDnSe9,Kiera Nolasco,https://play-lh.googleusercontent.com/a-/AOh14Gjww_j_lRX7xypwS-mtFIC_yup-Ml-RaHWI9HQN,Can't sign in google acc. Sucks!,1,0,,2015-06-10T22:34:14,,
45,gp:AOqpTOFSBNevIXzeVEIRILPd9mXHpjcHNzgMBVcV5teCrWy5Ea5VJ6uPu235ZMe-0HpWPCcte7gZpc_JJNxe,Tanvir Ferdhous,https://play-lh.googleusercontent.com/a-/AOh14Gi4WH5fpxtH2PgFEdt7PVkgGjqQImStuSr_s7dF2Q,the new update is worst one... please remove it... I faces many problem...,1,0,8.551.24,2017-05-22T13:51:05,,
46,gp:AOqpTOESxVKgCtbYTeaM9SqlNEtV_E_-uNR2ikHj0x9JOH7r5S1URUAzBQg7FNuWlej2SGl_eDntqx_d0wHe,Zachary Bender,https://play-lh.googleusercontent.com/a-/AOh14GhmSn-rmleKOEAuh0Qrbvs-FEZ-EMbUwjqdHE3tpg,mega gay,1,0,11.651.10,2019-07-25T17:13:42,,
47,gp:AOqpTOEQMcJ5gcMXSP4NNr2gAmfgdZQXSchIK60LOZ9et4QLds2eBJUTwxL50I-fm8JlgyQzrfEMlIoISswP,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,please hack my game,1,0,,2019-02-15T02:39:08,,
